SrNo,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentnType,AmountUSD,HundredMillionOrMore,OneMillionOrMore,Funded,Industry,BangaloreBased,InMegaCity,TechRelated,PrivateEquity,SeedFunding,PrivateOrSeed,Year,FiveMillionOrMore,TopInvestor
825,17-May,Telr,Technology,Online Payment Gateway,Mumbai,Innovations East,Private Equity,3000000,No,Yes,Yes,Other,No,Yes,Yes,Yes,No,Yes,2017,0,No
826,17-May,Fynd,eCommerce,Fashion ECommerce Portal,Mumbai,Rocketship,Private Equity,500000,No,No,Yes,Other,No,Yes,No,Yes,No,Yes,2017,0,No
827,17-May,Genie,Consumer Internet,hyperlocal delivery and logistics mobile app,Chennai,Undisclosed Investors,Seed Funding,250000,No,No,Yes,Consumer Internet,No,Yes,Yes,No,Yes,Yes,2017,0,Yes
828,17-May,Paysense,Consumer Internet,Online Lending platform,Mumbai,Jungle Ventures,Private Equity,5300000,No,Yes,Yes,Consumer Internet,No,Yes,Yes,Yes,No,Yes,2017,1,No
829,17-May,The Good Life,ECommerce,Online Luxury Tea etailer,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed Funding,1000000,No,Yes,Yes,Other,No,Yes,No,No,Yes,Yes,2017,0,No
830,17-May,PumpKart,eCommerce,Online Water Pumps etailer,Chandigarh,Dr. Ritesh Malik,Seed Funding,0,No,No,No,Other,No,No,No,No,Yes,Yes,2017,0,No
831,17-May,Paytm,ECommerce,Mobile Wallet & ECommerce platform,Bangalore,SoftBank Group,Private Equity,1400000000,Yes,Yes,Yes,Other,Yes,Yes,No,Yes,No,Yes,2017,1,No
832,17-May,EzCred,Consumer Internet,Consumer Lending Platform,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed Funding,1000000,No,Yes,Yes,Consumer Internet,Yes,Yes,Yes,No,Yes,Yes,2017,0,No
833,17-May,HealthSutra,Food & Beverage,Health Food Maker,Hyderabad,"Ankur Capital, Hyderabad Angels",Seed Funding,0,No,No,No,Other,No,No,No,No,Yes,Yes,2017,0,No
834,17-May,YepMe,eCommerce,Private Fashion Brand etailer,New Delhi,Gokaldas Exports Ltd,Private Equity,0,No,No,No,Other,No,Yes,No,Yes,No,Yes,2017,0,No
835,17-May,Delhivery,Logistics,ECommerce Logistics provider,New Delhi,Fosun International,Private Equity,30000000,No,Yes,Yes,Other,No,Yes,No,Yes,No,Yes,2017,1,No
836,17-May,ZipGrid,Consumer Internet,"Cashless, paperless solutions for Housing societies",Mumbai,"JLL, 1Crowd",Seed Funding,500000,No,No,Yes,Consumer Internet,No,Yes,Yes,No,Yes,Yes,2017,0,No
837,17-May,TravelSpice,ECommerce,Travel ECommerce portal,Hyderabad,Eagle10 Ventures,Seed Funding,0,No,No,No,Other,No,No,No,No,Yes,Yes,2017,0,No
838,17-May,Magicpin,Consumer Internet,Hyperlocal discovery platform,Gurgaon,"Lightspeed Venture Partners, Vy Capital,",Private Equity,6600000,No,Yes,Yes,Consumer Internet,No,No,Yes,Yes,No,Yes,2017,1,No
839,17-May,The Print,Consumer Internet,News Portal,New Delhi,"Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody",Seed Funding,0,No,No,No,Consumer Internet,No,Yes,Yes,No,Yes,Yes,2017,0,No
840,17-May,Box8,Consumer Internet,Food Delivery Platform,Mumbai,Trifecta Capital,Private Equity,1000000,No,Yes,Yes,Consumer Internet,No,Yes,Yes,Yes,No,Yes,2017,0,No
841,17-May,GenNext Students,Consumer Internet,Online Tutoring Services,Mumbai,Undisclosed Investors,Seed Funding,580000,No,No,Yes,Consumer Internet,No,Yes,Yes,No,Yes,Yes,2017,0,Yes
842,17-May,Aye Finance,Finance,Non-Banking Financial Company,Gurgaon,Blue Orchard,Private Equity,8000000,No,Yes,Yes,Other,No,No,No,Yes,No,Yes,2017,1,No
843,17-May,WhatsLoan,Consumer Internet,Online Lending mobile app,Bangalore,Lahiri Music\\xe2\\x80\\x99s family office,Seed Funding,0,No,No,No,Consumer Internet,Yes,Yes,Yes,No,Yes,Yes,2017,0,No
844,17-May,Cube Consumer Services,Consumer Internet,Finance management Mobile app,Mumbai,N/A,Seed Funding,0,No,No,No,Consumer Internet,No,Yes,Yes,No,Yes,Yes,2017,0,No
845,17-May,Nivesh,Consumer Internet,Online MF investment platform,Noida,"PV Sahad, Sandeep Shroff, Rahul Gupta",Seed Funding,0,No,No,No,Consumer Internet,No,No,Yes,No,Yes,Yes,2017,0,No
846,17-May,Wowflux,Technology,image Processing solution,New Delhi,Undisclosed Investors,Seed Funding,0,No,No,No,Other,No,Yes,Yes,No,Yes,Yes,2017,0,Yes
847,17-May,Collateral Medical,eCommerce,Online Medical equipment supplier,Mumbai,Carpediem Capital,Private Equity,3500000,No,Yes,Yes,Other,No,Yes,No,Yes,No,Yes,2017,0,No
848,17-May,Loadshare,Logistics,Express Logistics Network,Bangalore,Matrix Partners,Seed Funding,0,No,No,No,Other,Yes,Yes,No,No,Yes,Yes,2017,0,No
849,17-May,SimpliLend,Consumer Internet,Online lending platform,New Delhi,Undisclosed Investors,Seed Funding,0,No,No,No,Consumer Internet,No,Yes,Yes,No,Yes,Yes,2017,0,Yes
850,17-May,Supr Daily,Consumer Internet,Subscription based delivery platform,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity,1500000,No,Yes,Yes,Consumer Internet,No,Yes,Yes,Yes,No,Yes,2017,0,No
851,17-May,Swiggy,Consumer Internet,Online food delivery platform,Bangalore,"Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Private Equity,80000000,No,Yes,Yes,Consumer Internet,Yes,Yes,Yes,Yes,No,Yes,2017,1,No
852,17-May,SastaSundar,eCommerce,Online Pharmacy,Kolkata,Rohto Pharmaceutical,Private Equity,5000000,No,Yes,Yes,Other,No,No,No,Yes,No,Yes,2017,1,No
853,17-May,Magicpin,Consumer Internet,Hyperlocal Discovery\\xc2\\xa0 & Rewards platform,Gurgaon,"Lightspeed India Partners, Waterbridge Ventures",Private Equity,7000000,No,Yes,Yes,Consumer Internet,No,No,Yes,Yes,No,Yes,2017,1,No
854,17-Apr,Cashe,Consumer Internet,Online & Mobile based Lending platform,Mumbai,"Mathew Cyriac, Florintree Advisors,",Private Equity,3800000,No,Yes,Yes,Consumer Internet,No,Yes,Yes,Yes,No,Yes,2017,0,No
